DATE,SCORE,RATING,SLOPE
5/8/15,95,70.3,116
5/9/15,97,69.5,126
5/30/15,93,66.9,111
6/27/15,97,69.5,126
7/3/15,94,67.3,122
8/2/15,88,67.3,120
8/15/15,98,68.4,117
8/29/15,100,68.5,118
6/7/16,93,69.8,127
6/21/16,93,68.1,121
6/29/16,96,69.8,127
7/6/15,102,69.8,121
8/2/16,85,67.3,120
8/10/15,91,69.8,127
8/17/15,96,69.8,127
9/7/16,95,69.8,127
9/20/16,97,69.6,120
6/8/15,91,70.3,116
6/9/16,98,69.5,126
5/30/15,95,66.9,111
7/27/15,97,69.5,126
7/3/15,94,67.3,122
9/2/15,88,67.3,120
4/15/16,98,68.4,117
5/29/16,90,68.5,118
